,url,名前,説明文,base,tec,taste,style,top,glass,color,度数,特徴,画像
0,https://cocktail-f.com/cocktails/1,マティーニ,ジンの辛味とドライベルモットの香りが絶妙なカクテルの王様。時代が進むにつれ辛口へと変化している。使用するお酒の種類や配合が無数にあるため、バーによって味が異なると言われている。カクテル好きなら1度は味わっておきたい一杯。,ジン,ステア,辛口,ショート,食前,カクテルグラス,透明,42%,"['スタンダード', 'キレがある', '強い']",https://dm58o2i5oqos8.cloudfront.net/photos/1.jpg
1,https://cocktail-f.com/cocktails/2,テキーラ・サンライズ,グレナデン・シロップとオレンジジュースのグラデーションで日の出を表現した美しいカクテル。テキーラ独特の風味とオレンジジュースがマッチした一品。,テキーラ,ビルド,中甘口,ロング,オール,ゴブレット,オレンジ,13%,"['スタンダード', '美しい']",https://dm58o2i5oqos8.cloudfront.net/photos/2.jpg
2,https://cocktail-f.com/cocktails/3,ジン・トニック,ジンとトニックウォーターをビルドするシンプルなレシピ。家でも簡単に作れる上、さっぱりして飲みやすい。シンプルかつスタンダードなカクテルが故にバーテンダーの腕が出やすいとされる。なお、トニックウォーターだけでは甘すぎる場合は炭酸水を半分入れたジン・ソニックというカクテルもある。,ジン,ビルド,中辛口,ロング,オール,タンブラー,透明,16%,"['スタンダード', 'キレがある']",https://dm58o2i5oqos8.cloudfront.net/photos/3.jpg
3,https://cocktail-f.com/cocktails/4,XYZ,ラムベースの中でもスタンダードカクテルで、ラムの甘みと柑橘の酸味がバランスよく飲みやすい。アルファベット最後の３文字から、「これで終わり」や「これ以上のものはない」といった意味がある。漫画シティーハンターでも登場し、こちらでは「後がない」という意味で伝言板に書き込まれる。,ラム,シェイク,中辛口,ショート,オール,カクテルグラス,白,30%,['スタンダード'],https://dm58o2i5oqos8.cloudfront.net/photos/4.jpg
4,https://cocktail-f.com/cocktails/5,モヒート,ラムの甘み、ミントのさわやかな香り、ライムの酸味、炭酸水の爽快感がある夏にぴったりのカクテル。ウイスキーのハイボールよりもスッキリとして飲みやすく、見た目のオシャレさも合わさって日本で人気が高まっている。,ラム,ビルド,中口,ロング,オール,コリンズグラス,透明,23%,"['スタンダード', 'さっぱり', '爽やか', '飲みやすい', '美しい']",https://dm58o2i5oqos8.cloudfront.net/photos/5.jpg
5,https://cocktail-f.com/cocktails/6,ホワイト・レディ,1919年、ロンドンの「シローズ・クラブ」のハリーマッケンホルン氏が考案したカクテル。ジンの切れのある味わいに甘みと酸味がマッチしたバランスの良いスタンダードなカクテル。ベースのお酒を変えることでサイドカー、バラライカ、XYZ等のカクテルとなる。,ジン,シェイク,中辛口,ショート,オール,カクテルグラス,白,34%,"['スタンダード', '歴史ある']",https://dm58o2i5oqos8.cloudfront.net/photos/6.jpg
6,https://cocktail-f.com/cocktails/7,ブラッディ・メアリー,血まみれメアリーと呼ばれたイングランド女王のメアリー１世が由来とされる。野菜スティックを添えたり、ウスターソース、胡椒、タバスコをかける場合もあり、海外では迎え酒として二日酔いの際にも飲まれる。つまんねー事聞くなよ？,ウォッカ,ビルド,中口,ロング,オール,コリンズグラス,赤,11%,"['スタンダード', '酔い醒まし']",https://dm58o2i5oqos8.cloudfront.net/photos/7.jpg
7,https://cocktail-f.com/cocktails/8,ウォッカ・マティーニ,使用する材料をドライ・ジンをウォッカに変えたマティーニ。ウォッカを使うことでジン特有のクセがなくなり、ややソフトな味わいになる。,ウォッカ,ステア,辛口,ショート,食前,カクテルグラス,透明,36%,"['キレがある', '男らしい', '強い']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
8,https://cocktail-f.com/cocktails/9,キューバ・リブレ,第二次キューバ独立戦争の合言葉から名前のついたカクテルで一般的にラムコークとも呼ばれる。ライムがあれば家でも簡単に作ることができる。ラムのコクとコーラのさっぱりとした味わいにライムの酸味が加わって暑いときにグッと飲みたい味わい。,ラム,ビルド,中口,ロング,オール,タンブラー,茶色,13%,"['スタンダード', 'シンプル', 'さっぱり']",https://dm58o2i5oqos8.cloudfront.net/photos/9.jpg
9,https://cocktail-f.com/cocktails/10,青い珊瑚礁,淡いグリーンとマラスキーノ・チェリーの赤色の対比が美しい日本生まれのカクテル。ミントリキュールの爽快な味わいが特徴。1950年の第2回オールジャパン・ドリンクス・コンクールの優勝作品。,ジン,シェイク,中甘口,ショート,オール,カクテルグラス,緑,38%,"['爽やか', '美しい']",https://dm58o2i5oqos8.cloudfront.net/photos/10.jpg
10,https://cocktail-f.com/cocktails/11,ギムレット,ジンとライムのキレのある味わいのスタンダードなカクテル。シンプルだがバーによって味わいが異なるのが面白い。小説「長いお別れ」の中で登場する「ギムレットには早すぎる」というセリフが有名で、小説の中ではジンとイギリス・ローズ社製のライムジュースを半分ずつとなっているが、実際は様々なレシピが存在する。,ジン,シェイク,辛口,ショート,食前,カクテルグラス,白,32%,"['スタンダード', '男らしい']",https://dm58o2i5oqos8.cloudfront.net/photos/11.jpg
11,https://cocktail-f.com/cocktails/12,ジン・バック,甘みと酸味のバランスがとれジンジャー・エールの炭酸も加わっているため夏にピッタリの爽快なカクテル。,ジン,ビルド,中口,ロング,オール,タンブラー,透明,16%,"['スタンダード', 'さっぱり', '爽やか']",https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
12,https://cocktail-f.com/cocktails/13,ジン・フィズ,1888年、アメリカ、ニューオーリンズの「インペリアル・キャビネット・サロン」のオーナーが初めて作ったとされるカクテルで、さっぱりと爽快な味わいが特徴。,ジン,シェイク,中辛口,ロング,オール,タンブラー,透明,16%,"['スタンダード', 'さっぱり', '爽やか']",https://dm58o2i5oqos8.cloudfront.net/photos/13.jpg
13,https://cocktail-f.com/cocktails/14,カミカゼ,名前は旧日本海軍の神風特攻隊に由来するが、生まれはアメリカのカクテル。ホワイト・キュラソーの甘さにライムの酸味が加わりさっぱりとした味わい。シェイクした上で氷を入れたグラスに注ぐ少し珍しいスタイルを取る。,ウォッカ,シェイク,中辛口,ロング,オール,オールドファッションドグラス,白,27%,"['スタンダード', 'さっぱり']",https://dm58o2i5oqos8.cloudfront.net/photos/14.jpg
14,https://cocktail-f.com/cocktails/15,スクリュー・ドライバー,油田の作業員がスクリュー・ドライバー（ねじ回し）で材料をかき混ぜたことからこの名がついた。ウォッカとオレンジジュースを混ぜたシンプルなカクテルで家でも簡単に作れる。あえてマドラーを添えることでねじ回しで混ぜていたことの名残を現している。,ウォッカ,ビルド,中口,ロング,オール,タンブラー,オレンジ,13%,"['スタンダード', 'シンプル', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/15.jpg
15,https://cocktail-f.com/cocktails/16,スレッジ・ハンマー,スレッジハンマーとは両手持ちの大型ハンマーで、カクテルの名前の通りウォッカとライムのシンプルで切れのある強烈な組み合わせでぶん殴られるような味わい。ぜひ搾りたての生ライムジュースを使いたい。,ウォッカ,シェイク,辛口,ショート,食前,カクテルグラス,白,28%,['キレがある'],https://dm58o2i5oqos8.cloudfront.net/photos/InPreparation.png
16,https://cocktail-f.com/cocktails/17,ソルティ・ドッグ,船の甲板員を意味するスラングが名前の由来。スノースタイルの塩の口当たりと味わいの変化が楽しいカクテル。,ウォッカ,ビルド,中口,ロング,オール,オールドファッションドグラス,黄,11%,"['スタンダード', '楽しい', '飲みやすい']",https://dm58o2i5oqos8.cloudfront.net/photos/17.jpg
17,https://cocktail-f.com/cocktails/18,バラライカ,バラライカとはロシアの民族楽器のこと。口当たりがよく切れのある味わい。ベースを変えることで他の様々なカクテルとなる。,ウォッカ,シェイク,中辛口,ショート,オール,カクテルグラス,白,30%,"['スタンダード', 'キレがある']",https://dm58o2i5oqos8.cloudfront.net/photos/18.jpg
